activity_id,assay_chembl_id,molecule_chembl_id,pchembl_value,relation,standard_type,standard_units,standard_value,target_chembl_id,type,units,value,compound_name,canonical_smiles,molecular_weight,alogp,pIC50,standardized_smiles,mol_weight,logp,hbd,hba,rotatable_bonds,heavy_atoms,aromatic_rings,tpsa,query_id,cid,iupac_name,isomeric_smiles,molecular_formula,xlogp,hydrogen_bond_donor_count,hydrogen_bond_acceptor_count,rotatable_bond_count,complexity
27652841.0,CHEMBL5733991,CHEMBL5873524,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,Cc1cccc(Nc2nc(Nc3cccc(NC(=O)/C=C/CN4C[C@@H](C)N[C@@H](C)C4)c3)ncc2F)c1,,,6.259637310505756,Cc1cccc(Nc2nc(Nc3cccc(NC(=O)/C=C/CN4C[C@@H](C)N[C@@H](C)C4)c3)ncc2F)c1,489.5990000000003,4.588220000000002,4.0,7.0,8.0,36.0,3.0,94.21000000000001,,,,,,,,,,
27652883.0,CHEMBL5733991,CHEMBL6011521,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cccc(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)ncc2F)c1,,,6.259637310505756,C=CC(=O)Nc1cccc(Nc2nc(Nc3cc(OC)c(OC)c(OC)c3)ncc2F)c1,439.4470000000002,4.253200000000002,3.0,8.0,9.0,32.0,3.0,106.63000000000001,,,,,,,,,,
27652892.0,CHEMBL5733991,CHEMBL5979309,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3cccc(OCCCS(C)(=O)=O)c3)ncc2F)cc1,,,6.259637310505756,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3cccc(OCCCS(C)(=O)=O)c3)ncc2F)cc1,514.5790000000003,4.109500000000003,1.0,8.0,12.0,36.0,3.0,110.72000000000001,,,,,,,,,,
28902695.0,CHEMBL5738948,CHEMBL5922580,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(Oc3cccc(OC)c3F)cc2)c2c(C)nccn12,,,6.259637310505756,C=CC(=O)N1CCCC[C@H]1c1nc(-c2ccc(Oc3cccc(OC)c3F)cc2)c2c(C)nccn12,486.5470000000002,5.884320000000006,0.0,6.0,6.0,36.0,4.0,68.96000000000001,,,,,,,,,,
27652823.0,CHEMBL5733991,CHEMBL5802687,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N(C)Cc1ccc(Nc2nc(Nc3cccc(OC)c3)ncc2F)cc1,,,6.259637310505756,C=CC(=O)N(C)Cc1ccc(Nc2nc(Nc3cccc(OC)c3)ncc2F)cc1,407.4490000000001,4.255900000000002,2.0,6.0,8.0,30.0,3.0,79.38000000000001,,,,,,,,,,
27652817.0,CHEMBL5733991,CHEMBL5897274,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)cc1,,,6.259637310505756,C=CC(=O)N(C)Cc1ccc(Oc2nc(Nc3cccc(OCCCN4CCCC4=O)c3)ncc2F)cc1,519.5770000000005,4.687300000000004,1.0,7.0,12.0,38.0,3.0,96.89,,,,,,,,,,
27652808.0,CHEMBL5733991,CHEMBL5833997,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)ccc1Cl,,,6.259637310505756,C=CC(=O)Nc1cc(Nc2nc(Nc3ccc(OCCOC)cc3)ncc2F)ccc1Cl,457.89300000000014,4.906000000000003,3.0,7.0,10.0,32.0,3.0,97.4,,,,,,,,,,
27652805.0,CHEMBL5733991,CHEMBL5877896,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)Nc1cc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)ccc1Cl,,,6.259637310505756,C=CC(=O)Nc1cc(Nc2nc(Nc3ccc(OC(C)C)nc3)ncc2F)ccc1Cl,442.88200000000006,5.063000000000003,3.0,7.0,8.0,31.0,3.0,101.06,,,,,,,,,,
28902641.0,CHEMBL5738948,CHEMBL5945215,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,CC#CC(=O)C1NCCC[C@H]1c1nc(-c2ccc(Oc3cccc(OC)c3F)cc2)c2c(C)nccn12,,,6.259637310505756,CC#CC(=O)C1NCCC[C@H]1c1nc(-c2ccc(Oc3cccc(OC)c3F)cc2)c2c(C)nccn12,498.5580000000002,5.072720000000005,1.0,7.0,6.0,37.0,4.0,77.75,,,,,,,,,,
28902623.0,CHEMBL5738948,CHEMBL5966417,6.26,=,IC50,nM,550.0,CHEMBL203,IC50,nM,550.0,,C=CC(=O)N1CCC[C@@H](c2nc(-c3ccc(Oc4cccc(OC)c4F)cc3)c3cnccn23)C1,,,6.259637310505756,C=CC(=O)N1CCC[C@@H](c2nc(-c3ccc(Oc4cccc(OC)c4F)cc3)c3cnccn23)C1,472.5200000000002,5.228300000000005,0.0,6.0,6.0,35.0,4.0,68.96000000000001,,,,,,,,,,
